Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
Jan 21,Saturday,21,"$31,885,285",+61.6%,-21.2%,37,Avatar: The Way of Water,"$9,454,007"
Jan 20,Friday,20,"$19,736,410",+197.5%,-23.1%,36,Avatar: The Way of Water,"$4,671,161"
Jan 19,Thursday,19,"$6,634,282",+7%,-7.9%,31,Avatar: The Way of Water,"$1,959,746"
Jan 18,Wednesday,18,"$6,203,124",-36.4%,-22.1%,31,Avatar: The Way of Water,"$1,865,293"
Jan 17,Tuesday,17,"$9,757,114",-53.7%,-10.2%,31,Avatar: The Way of Water,"$2,769,211"
Jan 16MLK Day,Monday,16,"$21,069,765",+63.1%,-30.8%,32,Avatar: The Way of Water,"$7,056,071"
Jan 15,Sunday,15,"$32,575,322",-19.5%,+13.9%,31,Avatar: The Way of Water,"$11,727,060"
Jan 14,Saturday,14,"$40,457,653",+57.6%,-9.4%,32,Avatar: The Way of Water,"$14,054,064"
Jan 13,Friday,13,"$25,676,736",+256.5%,-17.3%,32,Avatar: The Way of Water,"$7,043,560"
Jan 12,Thursday,12,"$7,202,303",-9.6%,-33.7%,30,Avatar: The Way of Water,"$2,974,300"
Jan 11,Wednesday,11,"$7,964,902",-26.7%,-34.3%,29,Avatar: The Way of Water,"$3,173,055"
Jan 10,Tuesday,10,"$10,870,334",+37.2%,-35.9%,27,Avatar: The Way of Water,"$4,547,214"
Jan 9,Monday,9,"$7,924,065",-72.3%,-75.7%,28,Avatar: The Way of Water,"$3,478,414"
Jan 8,Sunday,8,"$28,588,281",-36%,-21.1%,29,Avatar: The Way of Water,"$13,729,301"
Jan 7,Saturday,7,"$44,649,143",+43.9%,+59.7%,29,Avatar: The Way of Water,"$20,688,606"
Jan 6,Friday,6,"$31,029,606",+185.6%,-18.1%,28,M3GAN,"$11,726,555"
