Rank,Movie,"Release
Date",Distributor,Genre,2023 Gross,Tickets Sold
62,Saint Omer,"Dec 9, 2022",Super LTD,Drama,"$213,953","23,331"
63,Selfiee,"Feb 24, 2023",Star Studios,Action,"$203,000","22,137"
64,Lourdes,"Jun 25, 2021",Distrib Films,Documentary,"$197,702","21,559"
65,When You Finish Saving the …,"Jan 20, 2023",A24,Comedy,"$196,920","21,474"
66,All The Beauty And The Bloo…,"Nov 23, 2022",Neon,Documentary,"$193,711","21,124"
67,"Lyle, Lyle, Crocodile","Oct 7, 2022",Sony Pictures,Musical,"$185,300","20,207"
68,The Woman King,"Sep 16, 2022",Sony Pictures,Action,"$149,862","16,342"
69,One Fine Morning,"Jan 27, 2023",Sony Pictures Cla…,Drama,"$139,490","15,211"
70,No Bears,"Dec 23, 2022",Janus Films,Drama,"$130,239","14,202"
71,Decision to Leave,"Oct 14, 2022",MUBI,Drama,"$126,481","13,792"
72,Return to Seoul,"Dec 2, 2022",Sony Pictures Cla…,Drama,"$101,716","11,092"
73,Black Adam,"Oct 21, 2022",Warner Bros.,Action,"$97,874","10,673"
74,Holy Spider (عنكبوت ? قدس)…,"Oct 28, 2022",Utopia,Drama,"$92,885","10,129"
75,"RRR: Rise, Roar, Revolt","Mar 24, 2022",Sarigama Cinemas,Action,"$88,645","9,666"
76,Il conformista,"Aug 29, 2014",Kino Lorber,Drama,"$78,775","8,590"
77,Bunker,"Feb 24, 2023",Blue Fox Entertai…,Horror,"$76,727","8,367"
78,I Heard the Bells,"Dec 1, 2022",Fathom Events,Drama,"$67,407","7,350"
79,Path Of The Panther,"Feb 24, 2023",,Documentary,"$66,350","7,235"
80,The Quiet Girl,"Dec 16, 2022",Super LTD,Drama,"$59,149","6,450"
81,Fire of Love,"Jul 6, 2022",Neon,Documentary,"$56,332","6,143"
82,Una vita difficile,"Feb 3, 2023",Rialto Pictures,Drama,"$47,691","5,200"
83,Ticket to Paradise,"Oct 21, 2022",Universal,Romantic Comedy,"$46,825","5,106"
84,Cat Daddies,"Oct 14, 2022",Gray Hat Productions,Documentary,"$46,381","5,057"
85,Alcarràs,"Jan 6, 2023",MUBI,Drama,"$41,093","4,481"
86,Cinema Sabaya,"Feb 10, 2023",Kino Lorber,Drama,"$37,506","4,090"
87,Godland,"Feb 3, 2023",Janus Films,Drama,"$32,733","3,569"
88,The Sparring Partner,"Dec 9, 2022",Well Go USA,Drama,"$27,527","3,001"
89,Full Time,"Feb 3, 2023",Music Box Films,Drama,"$23,740","2,588"
90,The Civil Dead,"Feb 10, 2023",Utopia,Comedy,"$20,825","2,270"
91,Linoleum,"Feb 24, 2023",Shout! Factory,Comedy,"$20,418","2,226"
92,The Trial,"Feb 20, 1963",,Thriller/Suspense,"$20,322","2,216"
93,Brotherhood of the Wolf,"Jan 11, 2002",Universal,Action,"$18,874","2,058"
94,The Mean One,"Dec 8, 2022",Atlas Distribution,Horror,"$18,625","2,031"
95,Baby Ruby,"Feb 3, 2023",Magnet Releasing,Thriller/Suspense,"$16,991","1,852"
96,iMordecai,"Feb 10, 2023",Greenwich,Drama,"$16,585","1,808"
97,Filmmakers for the Prosecution,"Jan 24, 2023",Kino Lorber,Documentary,"$12,222","1,332"
98,Only in Theaters,"Nov 18, 2022",The Film Collabor…,Documentary,"$9,218","1,005"
99,The Runner,"Dec 31, 1991",,Drama,"$8,648",943
100,The Super 8 Years,"Dec 16, 2022",Kino Lorber,Documentary,"$8,137",887
101,Framing Agnes,"Dec 2, 2022",Kino Lorber,Drama,"$6,724",733
102,The Man in the Basement,"Jan 27, 2023",Greenwich,Drama,"$6,095",664
103,Let it be Morning,"Feb 3, 2023",Cohen Media Group,Drama,"$6,000",654
104,Utama,"Nov 4, 2022",Kino Lorber,Drama,"$5,396",588
105,Life Upside Down,"Jan 27, 2023",IFC Films,Comedy,"$4,467",487
106,Leonor Will Never Die,"Nov 25, 2022",Music Box Films,Comedy,"$4,428",482
107,The Discreet Charm of the B…,"May 12, 2000",,Comedy,"$4,396",479
108,Jethica,"Jan 13, 2023",Cinedigm,Comedy,"$3,440",375
109,Hockeyland,"Sep 9, 2022",Greenwich,Documentary,"$2,823",307
110,Loudmouth,"Dec 9, 2022",Greenwich,Documentary,"$1,677",182
111,Please Baby Please,"Oct 28, 2022",Music Box Films,Musical,"$1,116",121
112,Brainwashed: Sex-Camera-Power,"Oct 21, 2022",Kino Lorber,Documentary,"$1,000",109
113,Christmas Bloody Christmas,"Dec 9, 2022",RLJ Entertainment,Horror,$812,88
114,Lowndes County and the Road…,"Dec 2, 2022",Greenwich,Documentary,$363,39
115,When Men Were Men,"Nov 4, 2022",Indican Pictures,Drama,$200,21
Total Gross of All Movies,"$1,034,894,634",
Total Tickets Sold,"112,856,503"
